% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2018
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2018 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2018, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
196208	 -0.01753665	  0.00437073	-99
196209	 -0.00407476	  0.01176629	-99
196210	 -0.10420795	 -0.07461138	-99
196211	 -0.01974170	  0.02890273	-99
196212	 -0.00508915	  0.01522786	-99
196301	 -0.05579702	  0.00962145	-99
196302	  0.01440418	  0.02678079	-99
196303	 -0.02337483	 -0.02037036	-99
196304	  0.05413276	  0.07711234	-99
196305	  0.00354149	 -0.01320758	-99
196306	  0.00959261	 -0.00249141	-99
196307	  0.01432661	  0.01948498	-99
196308	  0.03377124	  0.03774804	-99
196309	 -0.00753905	  0.01889422	-99
196310	  0.02680866	  0.03181710	-99
196311	 -0.05313639	 -0.06083716	-99
196312	 -0.02057325	  0.01228458	-99
196401	 -0.07136749	 -0.05412265	-99
196402	 -0.02474942	  0.01290093	-99
196403	  0.03138957	  0.04305073	-99
196404	 -0.04066846	 -0.02837913	-99
196405	 -0.02572535	 -0.00719906	-99
196406	 -0.05656623	 -0.01019416	-99
196407	  0.05818911	  0.05691586	-99
196408	 -0.04851480	 -0.04498232	-99
196409	 -0.00816254	  0.01129021	-99
196410	  0.01293442	  0.03881582	-99
196411	  0.01488670	 -0.00469353	-99
196412	 -0.02673177	 -0.01522574	-99
196501	  0.03792482	  0.06970117	-99
196502	 -0.01642748	  0.02182100	-99
196503	  0.03396719	  0.01665514	-99
196504	  0.02236126	  0.03952620	-99
196505	 -0.01294330	  0.03285850	-99
196506	 -0.16341145	 -0.11294224	-99
196507	 -0.08097770	 -0.04831293	-99
196508	 -0.03474858	  0.07450709	-99
196509	  0.02700287	  0.06421977	-99
196510	  0.00619804	 -0.02556168	-99
196511	  0.04447103	  0.06442538	-99
196512	  0.04088096	  0.02345904	-99
196601	  0.03997340	  0.01982989	-99
196602	  0.03502075	  0.04366608	-99
196603	 -0.06624636	 -0.06662325	-99
196604	  0.02544977	  0.05370740	-99
196605	 -0.12120820	 -0.07781950	-99
196606	 -0.05336691	 -0.01259453	-99
196607	 -0.03300129	  0.00945459	-99
196608	 -0.10666605	 -0.08582258	-99
196609	 -0.08782642	 -0.04485060	-99
196610	 -0.20654296	 -0.08269683	-99
196611	 -0.05410494	  0.05222685	-99
196612	 -0.02167904	  0.04876546	-99
196701	 -0.02740856	  0.01300030	-99
196702	 -0.07258088	  0.01467804	-99
196703	 -0.00862977	  0.03654786	-99
196704	 -0.00152694	  0.01991230	-99
