"","x"
"1",10006
"2",10014
"3",10022
"4",10030
"5",10057
"6",10065
"7",10102
"8",10137
"9",10145
"10",10153
"11",10161
"12",10188
"13",10196
"14",10209
"15",10217
"16",10225
"17",10233
"18",10241
"19",10268
"20",10276
"21",10292
"22",10313
"23",10321
"24",10364
"25",10372
"26",10401
"27",10436
"28",10444
"29",10460
"30",10479
"31",10487
"32",10495
"33",10516
"34",10524
"35",10532
"36",10559
"37",10575
"38",10591
"39",10604
"40",10620
"41",10647
"42",10671
"43",10698
"44",10727
"45",10735
"46",10743
"47",10751
"48",10778
"49",10786
"50",10807
"51",10823
"52",10866
"53",10874
"54",10890
"55",10911
"56",10938
"57",10954
"58",10970
"59",10989
"60",11017
"61",11033
"62",11041
"63",11068
"64",11076
"65",11084
"66",11092
"67",11105
"68",11113
"69",11148
"70",11156
"71",11164
"72",11244
"73",11260
"74",11287
"75",11295
"76",11308
"77",11316
"78",11332
"79",11340
"80",11359
"81",11367
"82",11375
"83",11391
"84",11404
"85",11439
"86",11447
"87",11455
"88",11463
"89",11471
"90",11498
"91",11500
"92",11527
"93",11543
"94",11607
"95",11658
"96",11666
"97",11674
"98",11690
"99",11703
"100",11746
"101",11754
"102",11762
"103",11770
"104",11826
"105",11834
"106",11850
"107",11877
"108",11885
"109",11922
"110",11949
"111",11981
"112",12001
"113",12036
"114",12044
"115",12052
"116",12060
"117",12079
"118",12087
"119",12095
"120",12108
"121",12124
"122",12132
"123",12140
"124",12159
"125",12167
"126",12175
"127",12183
"128",12191
"129",12212
"130",12220
"131",12271
"132",12298
"133",12300
"134",12319
"135",12343
"136",12351
"137",12386
"138",12394
"139",12431
"140",12458
"141",12466
"142",12490
"143",12503
"144",12511
"145",12538
"146",12546
"147",12554
"148",12562
"149",12570
"150",12618
"151",12626
"152",12650
"153",12669
"154",12706
"155",12730
"156",12749
"157",12757
"158",12781
"159",12802
"160",12810
"161",12829
"162",12837
"163",12888
"164",12896
"165",12909
"166",12933
"167",12941
"168",12976
"169",12984
"170",13004
"171",13012
"172",13047
"173",13055
"174",13063
"175",13100
"176",13119
"177",13135
"178",13143
"179",13151
"180",13207
"181",13274
"182",13290
"183",13303
"184",13311
"185",13338
"186",13354
"187",13370
"188",13389
"189",13434
"190",13442
"191",13450
"192",13469
"193",13522
"194",13557
"195",13565
"196",13573
"197",13610
"198",13637
"199",13653
"200",13661
"201",13688
"202",13696
"203",13792
"204",13805
"205",13821
"206",13848
"207",13856
"208",13901
"209",13928
"210",13936
"211",13944
"212",13987
"213",14066
"214",14082
"215",14090
"216",14154
"217",14189
"218",14197
"219",14218
"220",14250
"221",14277
"222",14306
"223",14314
"224",14322
"225",14349
"226",14357
"227",14373
"228",14402
"229",14429
"230",14437
"231",14461
"232",14488
"233",14496
"234",14509
"235",14525
"236",14533
"237",14541
"238",14592
"239",14605
"240",14613
"241",14656
"242",14664
"243",14680
"244",14699
"245",14701
"246",14728
"247",14736
"248",14744
"249",14752
"250",14760
"251",14779
"252",14795
"253",14816
"254",14824
"255",14832
"256",14840
"257",14859
"258",14867
"259",14875
"260",14883
"261",14891
"262",14904
"263",14912
"264",14920
"265",14955
"266",14971
"267",15034
"268",15042
"269",15050
"270",15069
"271",15077
"272",15085
"273",15149
"274",15157
"275",15165
"276",15202
"277",15229
"278",15237
"279",15253
"280",15261
"281",15317
"282",15325
"283",15341
"284",15368
"285",15448
"286",15456
"287",15464
