"","x"
"1","ind_mvel1"
"2","ind_betasq"
"3","ind_chmom"
"4","ind_dolvol"
"5","ind_idiovol"
"6","ind_indmom"
"7","ind_mom1m"
"8","ind_mom6m"
"9","ind_mom12m"
"10","ind_pricedelay"
"11","ind_turn"
"12","ind_age"
"13","ind_agr"
"14","ind_bm"
"15","ind_bm_ia"
"16","ind_cashdebt"
"17","ind_cashpr"
"18","ind_chcsho"
"19","ind_chempia"
"20","ind_convind"
"21","ind_currat"
"22","ind_depr"
"23","ind_divi"
"24","ind_divo"
"25","ind_dy"
"26","ind_egr"
"27","ind_ep"
"28","ind_gma"
"29","ind_herf"
"30","ind_hire"
"31","ind_lev"
"32","ind_lgr"
"33","ind_mve_ia"
"34","ind_ps"
"35","ind_quick"
"36","ind_rd"
"37","ind_roic"
"38","ind_salecash"
"39","ind_salerec"
"40","ind_securedind"
"41","ind_sin"
"42","ind_sp"
"43","ind_tang"
"44","ind_aeavol"
"45","ind_cash"
"46","ind_chtx"
"47","ind_cinvest"
"48","ind_ear"
"49","ind_nincr"
"50","ind_roaq"
"51","ind_roeq"
"52","ind_rsup"
"53","ind_ms"
"54","ind_baspread"
"55","ind_ill"
"56","ind_maxret"
"57","ind_retvol"
"58","ind_std_dolvol"
"59","ind_std_turn"
"60","ind_zerotrade"
"61","ind_beta1"
