"","x"
"1","ind_mvel1"
"2","ind_betasq"
"3","ind_chmom"
"4","ind_dolvol"
"5","ind_idiovol"
"6","ind_indmom"
"7","ind_mom1m"
"8","ind_mom6m"
"9","ind_mom12m"
"10","ind_mom36m"
"11","ind_pricedelay"
"12","ind_turn"
"13","ind_absacc"
"14","ind_acc"
"15","ind_age"
"16","ind_agr"
"17","ind_bm"
"18","ind_bm_ia"
"19","ind_cashdebt"
"20","ind_cashpr"
"21","ind_cfp"
"22","ind_cfp_ia"
"23","ind_chatoia"
"24","ind_chcsho"
"25","ind_chempia"
"26","ind_chinv"
"27","ind_chpmia"
"28","ind_convind"
"29","ind_currat"
"30","ind_depr"
"31","ind_divi"
"32","ind_divo"
"33","ind_dy"
"34","ind_egr"
"35","ind_ep"
"36","ind_gma"
"37","ind_grcapx"
"38","ind_grltnoa"
"39","ind_herf"
"40","ind_hire"
"41","ind_invest"
"42","ind_lev"
"43","ind_lgr"
"44","ind_mve_ia"
"45","ind_operprof"
"46","ind_orgcap"
"47","ind_pchcapx_ia"
"48","ind_pchcurrat"
"49","ind_pchdepr"
"50","ind_pchgm_pchsale"
"51","ind_pchquick"
"52","ind_pchsale_pchinvt"
"53","ind_pchsale_pchrect"
"54","ind_pchsale_pchxsga"
"55","ind_pchsaleinv"
"56","ind_pctacc"
"57","ind_ps"
"58","ind_quick"
"59","ind_rd"
"60","ind_rd_mve"
"61","ind_rd_sale"
"62","ind_realestate"
"63","ind_roic"
"64","ind_salecash"
"65","ind_saleinv"
"66","ind_salerec"
"67","ind_secured"
"68","ind_securedind"
"69","ind_sgr"
"70","ind_sin"
"71","ind_sp"
"72","ind_tang"
"73","ind_tb"
"74","ind_aeavol"
"75","ind_cash"
"76","ind_chtx"
"77","ind_cinvest"
"78","ind_ear"
"79","ind_nincr"
"80","ind_roaq"
"81","ind_roavol"
"82","ind_roeq"
"83","ind_rsup"
"84","ind_stdacc"
"85","ind_stdcf"
"86","ind_ms"
"87","ind_baspread"
"88","ind_ill"
"89","ind_maxret"
"90","ind_retvol"
"91","ind_std_dolvol"
"92","ind_std_turn"
"93","ind_zerotrade"
"94","ind_beta1"
