"","col","missing_share"
"1","absacc",0.295517306226678
"2","acc",0.295517306226678
"3","aeavol",0.127240604554947
"4","age",0.109434541189512
"5","agr",0.19486702364574
"6","bm",0.112943295754852
"7","bm_ia",0.112943295754852
"8","cash",0.12811655597676
"9","cashdebt",0.128393693149763
"10","cashpr",0.118149515504835
"11","cfp",0.228712400898716
"12","cfp_ia",0.228712400898716
"13","chatoia",0.271846822325379
"14","chcsho",0.195559866578247
"15","chempia",0.197074223273584
"16","chinv",0.209545396058714
"17","chpmia",0.204621262359823
"18","chtx",0.168375679233518
"19","cinvest",0.155726346837172
"20","convind",0.109434541189512
"21","currat",0.124766165510279
"22","depr",0.133693941583443
"23","divi",0.194827432621025
"24","divo",0.194827432621025
"25","dy",0.112468203458276
"26","ear",0.12692387635723
"27","egr",0.194906614670454
"28","ep",0.110063048706858
"29","gma",0.196039907752912
"30","grcapx",0.298090722833134
"31","grltnoa",0.467664030564271
"32","herf",0.109434541189512
"33","hire",0.197074223273584
"34","invest",0.214885235517108
"35","lev",0.112205912919541
"36","lgr",0.197712628547108
"37","mom36m",0.243088891748241
"38","ms",0.157933546465016
"39","mve_ia",0.110058099828769
"40","nincr",0.126235982302812
"41","operprof",0.212000039591025
"42","orgcap",0.347366701968664
"43","pchcapx_ia",0.225748022923203
"44","pchcurrat",0.211935704175863
"45","pchdepr",0.222204626211238
"46","pchgm_pchsale",0.203423633862203
"47","pchquick",0.217226054853365
"48","pchsale_pchinvt",0.401636099096335
"49","pchsale_pchrect",0.218215830471232
"50","pchsale_pchxsga",0.300550315243534
"51","pchsaleinv",0.412637455088931
"52","pctacc",0.295517306226678
"53","ps",0.194827432621025
"54","quick",0.129581423891204
"55","rd",0.194827432621025
"56","rd_mve",0.572382290934645
"57","rd_sale",0.579419595577683
"58","realestate",0.53874971543951
"59","roaq",0.128784654518821
"60","roavol",0.318212861144379
"61","roeq",0.128858887690161
"62","roic",0.157651460413924
"63","rsup",0.130313857848426
"64","salecash",0.114591272158602
"65","saleinv",0.341903140558036
"66","salerec",0.132204329278553
"67","secured",0.550909108905011
"68","securedind",0.109434541189512
"69","sgr",0.203398889471757
"70","sin",0.109434541189512
"71","sp",0.112057446576861
"72","stdacc",0.486796393257649
"73","stdcf",0.486796393257649
"74","tang",0.128819296665446
"75","tb",0.317044925915295
