"","x"
"1","ind_mvel1"
"2","ind_betasq"
"3","ind_chmom"
"4","ind_dolvol"
"5","ind_idiovol"
"6","ind_indmom"
"7","ind_mom1m"
"8","ind_mom6m"
"9","ind_mom12m"
"10","ind_mom36m"
"11","ind_pricedelay"
"12","ind_turn"
"13","ind_absacc"
"14","ind_acc"
"15","ind_age"
"16","ind_agr"
"17","ind_bm"
"18","ind_bm_ia"
"19","ind_cashdebt"
"20","ind_cashpr"
"21","ind_cfp"
"22","ind_cfp_ia"
"23","ind_chatoia"
"24","ind_chcsho"
"25","ind_chempia"
"26","ind_chinv"
"27","ind_chpmia"
"28","ind_convind"
"29","ind_currat"
"30","ind_depr"
"31","ind_divi"
"32","ind_divo"
"33","ind_dy"
"34","ind_egr"
"35","ind_ep"
"36","ind_gma"
"37","ind_grcapx"
"38","ind_herf"
"39","ind_hire"
"40","ind_invest"
"41","ind_lev"
"42","ind_lgr"
"43","ind_mve_ia"
"44","ind_operprof"
"45","ind_pchcapx_ia"
"46","ind_pchcurrat"
"47","ind_pchdepr"
"48","ind_pchgm_pchsale"
"49","ind_pchquick"
"50","ind_pchsale_pchrect"
"51","ind_pchsale_pchxsga"
"52","ind_pctacc"
"53","ind_ps"
"54","ind_quick"
"55","ind_rd"
"56","ind_roic"
"57","ind_salecash"
"58","ind_salerec"
"59","ind_securedind"
"60","ind_sgr"
"61","ind_sin"
"62","ind_sp"
"63","ind_tang"
"64","ind_aeavol"
"65","ind_cash"
"66","ind_chtx"
"67","ind_cinvest"
"68","ind_ear"
"69","ind_nincr"
"70","ind_roaq"
"71","ind_roavol"
"72","ind_roeq"
"73","ind_rsup"
"74","ind_ms"
"75","ind_baspread"
"76","ind_ill"
"77","ind_maxret"
"78","ind_retvol"
"79","ind_std_dolvol"
"80","ind_std_turn"
"81","ind_zerotrade"
"82","ind_beta1"
