"","model","sample","variable","importance"
"1","LM_MSE",1,"ind_aeavol",0.00195529157336906
"2","LM_MAE",1,"ind_aeavol",0.00239342123279004
"3","ELN_MSE",1,"ind_aeavol",0.000342507535547296
"4","ELN_MAE",1,"ind_aeavol",0.000499806746377989
"5","RF_MSE",1,"ind_aeavol",0.0038917184024026
"6","RF_MAE",1,"ind_aeavol",0.00720379059759596
"7","NN1_MSE",1,"ind_aeavol",0.0149516144700413
"8","NN1_MAE",1,"ind_aeavol",0.0150776268881968
"9","NN2_MSE",1,"ind_aeavol",0.0150565309244492
"10","NN2_MAE",1,"ind_aeavol",0.0151612826456952
"11","NN3_MSE",1,"ind_aeavol",0.0149590345949792
"12","NN3_MAE",1,"ind_aeavol",0.0150962849697482
"13","NN4_MSE",1,"ind_aeavol",0.0150026602240025
"14","NN4_MAE",1,"ind_aeavol",0.015144555863801
"15","NN5_MSE",1,"ind_aeavol",0.0150749064954902
"16","NN5_MAE",1,"ind_aeavol",0.015086333296761
"17","LM_MSE",2,"ind_aeavol",0.00382857441429054
"18","LM_MAE",2,"ind_aeavol",0.00534450588074612
"19","ELN_MSE",2,"ind_aeavol",0.0147058823529412
"20","ELN_MAE",2,"ind_aeavol",0.00243567293570026
"21","RF_MSE",2,"ind_aeavol",0.0158647760982725
"22","RF_MAE",2,"ind_aeavol",0.0166964074284376
"23","NN1_MSE",2,"ind_aeavol",0.0152439404003736
"24","NN1_MAE",2,"ind_aeavol",0.0150961732433052
"25","NN2_MSE",2,"ind_aeavol",0.015120385479623
"26","NN2_MAE",2,"ind_aeavol",0.015254041077103
"27","NN3_MSE",2,"ind_aeavol",0.014849482604199
"28","NN3_MAE",2,"ind_aeavol",0.0151455201878514
"29","NN4_MSE",2,"ind_aeavol",0.0150641995836759
"30","NN4_MAE",2,"ind_aeavol",0.0151964800475931
"31","NN5_MSE",2,"ind_aeavol",0.0153599963573174
"32","NN5_MAE",2,"ind_aeavol",0.0151589363119637
"33","LM_MSE",3,"ind_aeavol",0.00330269309523982
"34","LM_MAE",3,"ind_aeavol",0.00498961993612262
"35","ELN_MSE",3,"ind_aeavol",2.59189748363883e-99
"36","ELN_MAE",3,"ind_aeavol",0.000904405285775322
"37","RF_MSE",3,"ind_aeavol",0.0141740274976555
"38","RF_MAE",3,"ind_aeavol",0.0153456211740388
"39","NN1_MSE",3,"ind_aeavol",0.0141913958175505
"40","NN1_MAE",3,"ind_aeavol",0.0127881059054966
"41","NN2_MSE",3,"ind_aeavol",0.0134835996715899
"42","NN2_MAE",3,"ind_aeavol",0.0145168205943389
"43","NN3_MSE",3,"ind_aeavol",0.0145588030576557
"44","NN3_MAE",3,"ind_aeavol",0.0136924476850592
"45","NN4_MSE",3,"ind_aeavol",0.0137263890383061
"46","NN4_MAE",3,"ind_aeavol",0.014268213535132
"47","NN5_MSE",3,"ind_aeavol",0.0142068257492647
"48","NN5_MAE",3,"ind_aeavol",0.013649270716942
"49","LM_MSE",1,"ind_age",0.00197774482422405
"50","LM_MAE",1,"ind_age",0.0024082184758099
"51","ELN_MSE",1,"ind_age",0.000342507535547296
"52","ELN_MAE",1,"ind_age",0.000499806746377989
"53","RF_MSE",1,"ind_age",0.0237598826439217
"54","RF_MAE",1,"ind_age",0.00741313467553737
"55","NN1_MSE",1,"ind_age",0.0149526594665745
"56","NN1_MAE",1,"ind_age",0.0151005572872199
"57","NN2_MSE",1,"ind_age",0.015052501957374
"58","NN2_MAE",1,"ind_age",0.0151660385912945
"59","NN3_MSE",1,"ind_age",0.0149582232474632
"60","NN3_MAE",1,"ind_age",0.0150685611707029
"61","NN4_MSE",1,"ind_age",0.0149972463261894
"62","NN4_MAE",1,"ind_age",0.0151597666525308
"63","NN5_MSE",1,"ind_age",0.0150928296655662
"64","NN5_MAE",1,"ind_age",0.0150792868502541
"65","LM_MSE",2,"ind_age",0.00411246052869969
"66","LM_MAE",2,"ind_age",0.00542682993198315
"67","ELN_MSE",2,"ind_age",0.0147058823529412
"68","ELN_MAE",2,"ind_age",0.00243567293570026
"69","RF_MSE",2,"ind_age",0.0157234261075796
"70","RF_MAE",2,"ind_age",0.0173977927014623
"71","NN1_MSE",2,"ind_age",0.0151889620785716
"72","NN1_MAE",2,"ind_age",0.0150946611498013
"73","NN2_MSE",2,"ind_age",0.0151002032687761
"74","NN2_MAE",2,"ind_age",0.0152593780885749
"75","NN3_MSE",2,"ind_age",0.0148565367863025
"76","NN3_MAE",2,"ind_age",0.01516677563462
"77","NN4_MSE",2,"ind_age",0.0149539010308104
"78","NN4_MAE",2,"ind_age",0.0155118512420533
"79","NN5_MSE",2,"ind_age",0.0153655752872918
"80","NN5_MAE",2,"ind_age",0.0152006141268291
"81","LM_MSE",3,"ind_age",0.00334177014211539
"82","LM_MAE",3,"ind_age",0.00502088847596864
"83","ELN_MSE",3,"ind_age",2.59189748363883e-99
"84","ELN_MAE",3,"ind_age",0.000904405285775322
"85","RF_MSE",3,"ind_age",0.0152904847266793
"86","RF_MAE",3,"ind_age",0.0160844988899326
"87","NN1_MSE",3,"ind_age",0.0142683041403762
"88","NN1_MAE",3,"ind_age",0.0126650286284972
"89","NN2_MSE",3,"ind_age",0.0137214566381457
"90","NN2_MAE",3,"ind_age",0.0145640614697698
"91","NN3_MSE",3,"ind_age",0.0145849545695097
"92","NN3_MAE",3,"ind_age",0.0140509816065544
"93","NN4_MSE",3,"ind_age",0.0137446115080771
"94","NN4_MAE",3,"ind_age",0.0141369772081417
"95","NN5_MSE",3,"ind_age",0.0144569963656652
"96","NN5_MAE",3,"ind_age",0.0134749870140302
"97","LM_MSE",1,"ind_agr",0.00183625785574041
"98","LM_MAE",1,"ind_agr",0.00233214690753096
"99","ELN_MSE",1,"ind_agr",0.000342507535547296
"100","ELN_MAE",1,"ind_agr",0.000538084465740718
"101","RF_MSE",1,"ind_agr",0.00519478046268123
"102","RF_MAE",1,"ind_agr",0.0090332021350506
"103","NN1_MSE",1,"ind_agr",0.0149495501591793
"104","NN1_MAE",1,"ind_agr",0.0150575856676426
"105","NN2_MSE",1,"ind_agr",0.0150441083312545
"106","NN2_MAE",1,"ind_agr",0.0150882895750495
"107","NN3_MSE",1,"ind_agr",0.0149527598582356
"108","NN3_MAE",1,"ind_agr",0.0150376434687017
"109","NN4_MSE",1,"ind_agr",0.0149951601728402
"110","NN4_MAE",1,"ind_agr",0.0151022561337732
"111","NN5_MSE",1,"ind_agr",0.0150330845417566
"112","NN5_MAE",1,"ind_agr",0.0150834317290784
"113","LM_MSE",2,"ind_agr",0.00367728039032692
"114","LM_MAE",2,"ind_agr",0.00525437794670741
"115","ELN_MSE",2,"ind_agr",0.0147058823529412
"116","ELN_MAE",2,"ind_agr",0.00238169340302637
"117","RF_MSE",2,"ind_agr",0.0158385581700023
"118","RF_MAE",2,"ind_agr",0.016875506714039
"119","NN1_MSE",2,"ind_agr",0.0152514138778138
"120","NN1_MAE",2,"ind_agr",0.0150667312224237
"121","NN2_MSE",2,"ind_agr",0.0151447929003026
"122","NN2_MAE",2,"ind_agr",0.015247449862839
"123","NN3_MSE",2,"ind_agr",0.0147914234140874
"124","NN3_MAE",2,"ind_agr",0.0150618881404303
"125","NN4_MSE",2,"ind_agr",0.0151018393427309
"126","NN4_MAE",2,"ind_agr",0.015386513170129
