"","model","sample","variable","importance"
"1","LM_MSE",1,"ind_aeavol",0.0135754573540774
"2","LM_MAE",1,"ind_aeavol",0.016796584305332
"3","ELN_MSE",1,"ind_aeavol",0.00197956004073972
"4","ELN_MAE",1,"ind_aeavol",0.000504471995933111
"5","RF_MSE",1,"ind_aeavol",0.00689757326196454
"6","RF_MAE",1,"ind_aeavol",0.0141984777544699
"7","NN1_MSE",1,"ind_aeavol",0.0166754712745066
"8","NN1_MAE",1,"ind_aeavol",0.0167485904699195
"9","NN2_MSE",1,"ind_aeavol",0.0167540860529417
"10","NN2_MAE",1,"ind_aeavol",0.0167938513490507
"11","NN3_MSE",1,"ind_aeavol",0.0167054029786359
"12","NN3_MAE",1,"ind_aeavol",0.0167584438652188
"13","NN4_MSE",1,"ind_aeavol",0.0167187372557951
"14","NN4_MAE",1,"ind_aeavol",0.0168035393060274
"15","NN5_MSE",1,"ind_aeavol",0.0167545634796195
"16","NN5_MAE",1,"ind_aeavol",0.0167731802230115
"17","LM_MSE",2,"ind_aeavol",0.0163600665937084
"18","LM_MAE",2,"ind_aeavol",0.0167312514426591
"19","ELN_MSE",2,"ind_aeavol",0.00305191565205992
"20","ELN_MAE",2,"ind_aeavol",0.00211095423800303
"21","RF_MSE",2,"ind_aeavol",0.0173000548157253
"22","RF_MAE",2,"ind_aeavol",0.0179161624182056
"23","NN1_MSE",2,"ind_aeavol",0.016869985679761
"24","NN1_MAE",2,"ind_aeavol",0.0168654579470255
"25","NN2_MSE",2,"ind_aeavol",0.0169057356682411
"26","NN2_MAE",2,"ind_aeavol",0.0168455768973418
"27","NN3_MSE",2,"ind_aeavol",0.0167390026030876
"28","NN3_MAE",2,"ind_aeavol",0.0168009157519358
"29","NN4_MSE",2,"ind_aeavol",0.0169989647542216
"30","NN4_MAE",2,"ind_aeavol",0.0168717762523123
"31","NN5_MSE",2,"ind_aeavol",0.0170093149110119
"32","NN5_MAE",2,"ind_aeavol",0.0167783055341632
"33","LM_MSE",3,"ind_aeavol",0.0165902513739476
"34","LM_MAE",3,"ind_aeavol",0.0166461925215954
"35","ELN_MSE",3,"ind_aeavol",4.38981220705678e-06
"36","ELN_MAE",3,"ind_aeavol",0.00104492743842746
