"","model","sample","variable","importance"
"1","LM_MSE",1,"macro_bm",0.051785273845793
"2","LM_MAE",1,"macro_bm",0.0427614635283899
"3","ELN_MSE",1,"macro_bm",0.46597707420473
"4","ELN_MAE",1,"macro_bm",0.84127368467138
"5","RF_MSE",1,"macro_bm",0.0744350231923381
"6","RF_MAE",1,"macro_bm",0.0791758678198476
"7","NN1_MSE",1,"macro_bm",0.158400438473281
"8","NN1_MAE",1,"macro_bm",0.163591362547378
"9","NN2_MSE",1,"macro_bm",0.152164951547685
"10","NN2_MAE",1,"macro_bm",0.164292142846738
"11","NN3_MSE",1,"macro_bm",0.158986717324566
"12","NN3_MAE",1,"macro_bm",0.166920261275975
"13","NN4_MSE",1,"macro_bm",0.15510348843218
"14","NN4_MAE",1,"macro_bm",0.168147801015684
"15","NN5_MSE",1,"macro_bm",0.161309296696761
"16","NN5_MAE",1,"macro_bm",0.171622030833089
"17","LM_MSE",2,"macro_bm",0.0810513891475133
"18","LM_MAE",2,"macro_bm",0.0501747675818955
"19","ELN_MSE",2,"macro_bm",0.323411003796799
"20","ELN_MAE",2,"macro_bm",0.691045261755749
"21","RF_MSE",2,"macro_bm",0.192268573017152
"22","RF_MAE",2,"macro_bm",0.173237555914994
"23","NN1_MSE",2,"macro_bm",0.140794462903794
"24","NN1_MAE",2,"macro_bm",0.142557477146465
"25","NN2_MSE",2,"macro_bm",0.130006093540985
"26","NN2_MAE",2,"macro_bm",0.158401040545823
"27","NN3_MSE",2,"macro_bm",0.0843063847419912
"28","NN3_MAE",2,"macro_bm",0.14952001098152
"29","NN4_MSE",2,"macro_bm",0.123833013660456
"30","NN4_MAE",2,"macro_bm",0.138004153367935
"31","NN5_MSE",2,"macro_bm",0.134110627783467
"32","NN5_MAE",2,"macro_bm",0.152406853338904
"33","LM_MSE",3,"macro_bm",0.0719796784201052
"34","LM_MAE",3,"macro_bm",0.0244327352940147
"35","ELN_MSE",3,"macro_bm",0.32152469304301
"36","ELN_MAE",3,"macro_bm",0.722985053394604
"37","RF_MSE",3,"macro_bm",0.200092543928173
"38","RF_MAE",3,"macro_bm",0.162654456245127
"39","NN1_MSE",3,"macro_bm",0.10970607756895
"40","NN1_MAE",3,"macro_bm",0
"41","NN2_MSE",3,"macro_bm",0
"42","NN2_MAE",3,"macro_bm",0.124927469914301
"43","NN3_MSE",3,"macro_bm",0.114507607359628
"44","NN3_MAE",3,"macro_bm",0.074955767539686
"45","NN4_MSE",3,"macro_bm",0.0852501843298415
"46","NN4_MAE",3,"macro_bm",0.103693643746153
"47","NN5_MSE",3,"macro_bm",0.112766613613735
"48","NN5_MAE",3,"macro_bm",0
"49","LM_MSE",1,"macro_dfy",0.0077975595663912
"50","LM_MAE",1,"macro_dfy",0.0187224715460332
"51","ELN_MSE",1,"macro_dfy",0.336176149083935
"52","ELN_MAE",1,"macro_dfy",0.0988676421031149
"53","RF_MSE",1,"macro_dfy",0.00817265932958721
"54","RF_MAE",1,"macro_dfy",0.0209786259088715
"55","NN1_MSE",1,"macro_dfy",0.165286019711825
"56","NN1_MAE",1,"macro_dfy",0.15667606757929
"57","NN2_MSE",1,"macro_dfy",0.152490349255938
"58","NN2_MAE",1,"macro_dfy",0.158696825573835
"59","NN3_MSE",1,"macro_dfy",0.159324020046965
"60","NN3_MAE",1,"macro_dfy",0.158738167999247
"61","NN4_MSE",1,"macro_dfy",0.15710265717232
"62","NN4_MAE",1,"macro_dfy",0.159791477417074
"63","NN5_MSE",1,"macro_dfy",0.162171268651578
"64","NN5_MAE",1,"macro_dfy",0.160096703943754
"65","LM_MSE",2,"macro_dfy",0.0118662514760592
"66","LM_MAE",2,"macro_dfy",0.0472611556507752
"67","ELN_MSE",2,"macro_dfy",0.465575664177615
"68","ELN_MAE",2,"macro_dfy",0.127701688146789
"69","RF_MSE",2,"macro_dfy",0.16533743466007
"70","RF_MAE",2,"macro_dfy",0.1120731395917
"71","NN1_MSE",2,"macro_dfy",0.169076500178477
"72","NN1_MAE",2,"macro_dfy",0.147654586843874
"73","NN2_MSE",2,"macro_dfy",0.15122794483671
"74","NN2_MAE",2,"macro_dfy",0.164923726781677
"75","NN3_MSE",2,"macro_dfy",0.134138721489998
"76","NN3_MAE",2,"macro_dfy",0.154001307825125
"77","NN4_MSE",2,"macro_dfy",0.14824513220211
"78","NN4_MAE",2,"macro_dfy",0.156921090496628
"79","NN5_MSE",2,"macro_dfy",0.170668271359051
"80","NN5_MAE",2,"macro_dfy",0.158465756614432
"81","LM_MSE",3,"macro_dfy",0.0210105701537164
"82","LM_MAE",3,"macro_dfy",0.0550925577834904
"83","ELN_MSE",3,"macro_dfy",0.479726745473626
"84","ELN_MAE",3,"macro_dfy",0.206439615377564
"85","RF_MSE",3,"macro_dfy",0.170586614534163
"86","RF_MAE",3,"macro_dfy",0.113500370954632
"87","NN1_MSE",3,"macro_dfy",0.108342923791441
"88","NN1_MAE",3,"macro_dfy",0.0131868335469518
"89","NN2_MSE",3,"macro_dfy",0.0218259619297728
"90","NN2_MAE",3,"macro_dfy",0.123380529290387
"91","NN3_MSE",3,"macro_dfy",0.123326197420162
"92","NN3_MAE",3,"macro_dfy",0.0837364944914447
"93","NN4_MSE",3,"macro_dfy",0.085070348685173
"94","NN4_MAE",3,"macro_dfy",0.109428507294663
"95","NN5_MSE",3,"macro_dfy",0.113997549599578
"96","NN5_MAE",3,"macro_dfy",0.048321230269243
"97","LM_MSE",1,"macro_dp",0.898400911898504
"98","LM_MAE",1,"macro_dp",0.708162540949424
"99","ELN_MSE",1,"macro_dp",0.073538448384417
"100","ELN_MAE",1,"macro_dp",0.0288532081465079
"101","RF_MSE",1,"macro_dp",0.0079636080761732
"102","RF_MAE",1,"macro_dp",0.0352147292454399
"103","NN1_MSE",1,"macro_dp",0.0121595156744301
"104","NN1_MAE",1,"macro_dp",0
"105","NN2_MSE",1,"macro_dp",0.0835503948362313
"106","NN2_MAE",1,"macro_dp",0
"107","NN3_MSE",1,"macro_dp",0.0410180750467415
"108","NN3_MAE",1,"macro_dp",0
"109","NN4_MSE",1,"macro_dp",0.0564196688917987
"110","NN4_MAE",1,"macro_dp",0
"111","NN5_MSE",1,"macro_dp",0.0253348476263378
"112","NN5_MAE",1,"macro_dp",0
"113","LM_MSE",2,"macro_dp",0.836606919806257
"114","LM_MAE",2,"macro_dp",0.611862262401407
"115","ELN_MSE",2,"macro_dp",0.0394828841047076
"116","ELN_MAE",2,"macro_dp",0.106376958417275
"117","RF_MSE",2,"macro_dp",0.164737899308194
"118","RF_MAE",2,"macro_dp",0.152937817433523
"119","NN1_MSE",2,"macro_dp",0.0138797980141736
"120","NN1_MAE",2,"macro_dp",0.116869367793545
"121","NN2_MSE",2,"macro_dp",0
"122","NN2_MAE",2,"macro_dp",0
"123","NN3_MSE",2,"macro_dp",0.243025098609852
"124","NN3_MAE",2,"macro_dp",0
"125","NN4_MSE",2,"macro_dp",0
"126","NN4_MAE",2,"macro_dp",0
"127","NN5_MSE",2,"macro_dp",0.0131568045673947
"128","NN5_MAE",2,"macro_dp",0
"129","LM_MSE",3,"macro_dp",0.672240149332611
"130","LM_MAE",3,"macro_dp",0.565307479383422
"131","ELN_MSE",3,"macro_dp",0
"132","ELN_MAE",3,"macro_dp",0.00242309380714887
"133","RF_MSE",3,"macro_dp",0.147752211531652
"134","RF_MAE",3,"macro_dp",0.0326842101882109
"135","NN1_MSE",3,"macro_dp",0
"136","NN1_MAE",3,"macro_dp",0.312708625307664
"137","NN2_MSE",3,"macro_dp",0.139672580031552
"138","NN2_MAE",3,"macro_dp",0
"139","NN3_MSE",3,"macro_dp",0
"140","NN3_MAE",3,"macro_dp",0
"141","NN4_MSE",3,"macro_dp",0
"142","NN4_MAE",3,"macro_dp",0
"143","NN5_MSE",3,"macro_dp",0
"144","NN5_MAE",3,"macro_dp",0.409373765949394
"145","LM_MSE",1,"macro_ep",0.0249044636972118
"146","LM_MAE",1,"macro_ep",0.159073396806192
"147","ELN_MSE",1,"macro_ep",0.10063979266616
"148","ELN_MAE",1,"macro_ep",0.00268804691119086
"149","RF_MSE",1,"macro_ep",0.0162167131602167
"150","RF_MAE",1,"macro_ep",0.0129718982533351
"151","NN1_MSE",1,"macro_ep",0
"152","NN1_MAE",1,"macro_ep",0.0511400912791677
"153","NN2_MSE",1,"macro_ep",0
"154","NN2_MAE",1,"macro_ep",0.0403161896750709
"155","NN3_MSE",1,"macro_ep",0
"156","NN3_MAE",1,"macro_ep",0.0371506243021559
"157","NN4_MSE",1,"macro_ep",0
"158","NN4_MAE",1,"macro_ep",0.0308311104964808
"159","NN5_MSE",1,"macro_ep",0
"160","NN5_MAE",1,"macro_ep",0.024912303535453
"161","LM_MSE",2,"macro_ep",0.0376072811048051
"162","LM_MAE",2,"macro_ep",0.25271642354706
"163","ELN_MSE",2,"macro_ep",0.0975584955359166
"164","ELN_MAE",2,"macro_ep",0.0236587569788614
"165","RF_MSE",2,"macro_ep",0.183721703125114
"166","RF_MAE",2,"macro_ep",0.189207303201414
"167","NN1_MSE",2,"macro_ep",0
"168","NN1_MAE",2,"macro_ep",0
"169","NN2_MSE",2,"macro_ep",0.113207623208312
"170","NN2_MAE",2,"macro_ep",0.0148716165241966
"171","NN3_MSE",2,"macro_ep",0
"172","NN3_MAE",2,"macro_ep",0.0784866556970649
"173","NN4_MSE",2,"macro_ep",0.135095206426872
