"","model","sample","variable","importance"
"1","LM_MSE",1,"ind_aeavol",0.00139190265067455
"2","LM_MAE",1,"ind_aeavol",0.00143568180440408
"3","ELN_MSE",1,"ind_aeavol",2.55733697757946e-99
"4","ELN_MAE",1,"ind_aeavol",0.00171367789821392
"5","RF_MSE",1,"ind_aeavol",0.0142149356253422
"6","RF_MAE",1,"ind_aeavol",0.0146805463567435
"7","NN1_MSE",1,"ind_aeavol",0.0139608269655255
"8","NN1_MAE",1,"ind_aeavol",0.0139855205206574
"9","NN2_MSE",1,"ind_aeavol",0.0140027252003025
"10","NN2_MAE",1,"ind_aeavol",0.013952415118634
"11","NN3_MSE",1,"ind_aeavol",0.013928610817488
"12","NN3_MAE",1,"ind_aeavol",0.013955732097543
"13","NN4_MSE",1,"ind_aeavol",0.0139668978814684
"14","NN4_MAE",1,"ind_aeavol",0.0138182077457072
"15","NN5_MSE",1,"ind_aeavol",0.0139173702034325
"16","NN5_MAE",1,"ind_aeavol",0.0139373428885859
"17","LM_MSE",2,"ind_aeavol",0.00113737341998579
"18","LM_MAE",2,"ind_aeavol",0.00115069348207466
"19","ELN_MSE",2,"ind_aeavol",0.0138888888888889
"20","ELN_MAE",2,"ind_aeavol",0.0120849403914289
"21","RF_MSE",2,"ind_aeavol",0.0134821202638828
"22","RF_MAE",2,"ind_aeavol",0.0120067811392588
"23","NN1_MSE",2,"ind_aeavol",0.0139939924337098
"24","NN1_MAE",2,"ind_aeavol",0.0140169029671143
"25","NN2_MSE",2,"ind_aeavol",0.0140089198475276
"26","NN2_MAE",2,"ind_aeavol",0.0140911767503963
"27","NN3_MSE",2,"ind_aeavol",0.0141968701180362
"28","NN3_MAE",2,"ind_aeavol",0.0141568845573408
"29","NN4_MSE",2,"ind_aeavol",0.01387220209354
"30","NN4_MAE",2,"ind_aeavol",0.0139256833880839
"31","NN5_MSE",2,"ind_aeavol",0.0135577273773744
"32","NN5_MAE",2,"ind_aeavol",0.0139318479687821
"33","LM_MSE",3,"ind_aeavol",0.0115322809094971
"34","LM_MAE",3,"ind_aeavol",0.0123202904603974
"35","ELN_MSE",3,"ind_aeavol",0.00546129489981167
"36","ELN_MAE",3,"ind_aeavol",0.0138747188491243
"37","RF_MSE",3,"ind_aeavol",0.0155827960149417
"38","RF_MAE",3,"ind_aeavol",0.0171251574168532
"39","NN1_MSE",3,"ind_aeavol",0.0123143071635852
"40","NN1_MAE",3,"ind_aeavol",0.0140549196514613
"41","NN2_MSE",3,"ind_aeavol",0.01367499184936
"42","NN2_MAE",3,"ind_aeavol",0.0133003182323732
"43","NN3_MSE",3,"ind_aeavol",0.0126858447724887
"44","NN3_MAE",3,"ind_aeavol",0.0129154529615367
"45","NN4_MSE",3,"ind_aeavol",0.0136555659699925
"46","NN4_MAE",3,"ind_aeavol",0.0142496817483725
"47","NN5_MSE",3,"ind_aeavol",0.0126438706759616
"48","NN5_MAE",3,"ind_aeavol",0.0135019831763584
"49","LM_MSE",1,"ind_age",0.00140486844440587
"50","LM_MAE",1,"ind_age",0.0014521386515678
"51","ELN_MSE",1,"ind_age",2.55733697757946e-99
"52","ELN_MAE",1,"ind_age",0.00171367789821392
"53","RF_MSE",1,"ind_age",0.0116068852070245
"54","RF_MAE",1,"ind_age",0.013997706214403
"55","NN1_MSE",1,"ind_age",0.0139431329773097
"56","NN1_MAE",1,"ind_age",0.0140017196498615
"57","NN2_MSE",1,"ind_age",0.0139862248898365
"58","NN2_MAE",1,"ind_age",0.0139848190358844
"59","NN3_MSE",1,"ind_age",0.0139016261380585
"60","NN3_MAE",1,"ind_age",0.0139610137513872
"61","NN4_MSE",1,"ind_age",0.0139808422641899
"62","NN4_MAE",1,"ind_age",0.0138299805554132
"63","NN5_MSE",1,"ind_age",0.0139191213084074
"64","NN5_MAE",1,"ind_age",0.0139162176627627
"65","LM_MSE",2,"ind_age",0.00125028831343989
"66","LM_MAE",2,"ind_age",0.00129343858535626
"67","ELN_MSE",2,"ind_age",0.0138888888888889
"68","ELN_MAE",2,"ind_age",0.0120849403914289
"69","RF_MSE",2,"ind_age",0.0160750022258359
"70","RF_MAE",2,"ind_age",0.00665488845440456
"71","NN1_MSE",2,"ind_age",0.0139241964943581
