"","model","sample","variable","importance"
"1","LM_MSE",1,"ind_aeavol",0.016894446252464
"2","LM_MAE",1,"ind_aeavol",0.0169578548021492
"3","ELN_MSE",1,"ind_aeavol",5.11467395515891e-99
"4","ELN_MAE",1,"ind_aeavol",0.0025447102983095
"5","RF_MSE",1,"ind_aeavol",0.0175170904488441
"6","RF_MAE",1,"ind_aeavol",0.0183351177109346
"7","NN1_MSE",1,"ind_aeavol",0.0167462044674377
"8","NN1_MAE",1,"ind_aeavol",0.0167356391619938
"9","NN2_MSE",1,"ind_aeavol",0.016760287047292
"10","NN2_MAE",1,"ind_aeavol",0.016709181257032
"11","NN3_MSE",1,"ind_aeavol",0.0167236341915108
"12","NN3_MAE",1,"ind_aeavol",0.0167242043405242
"13","NN4_MSE",1,"ind_aeavol",0.0167275353984426
"14","NN4_MAE",1,"ind_aeavol",0.0166067982927803
"15","NN5_MSE",1,"ind_aeavol",0.0166875086300875
"16","NN5_MAE",1,"ind_aeavol",0.0167162424790189
"17","LM_MSE",2,"ind_aeavol",0.0169271405693905
"18","LM_MAE",2,"ind_aeavol",0.0174351430175441
"19","ELN_MSE",2,"ind_aeavol",0.0166666666666667
"20","ELN_MAE",2,"ind_aeavol",0.0147476969541162
"21","RF_MSE",2,"ind_aeavol",0.0163266567653806
"22","RF_MAE",2,"ind_aeavol",0.0141018057684405
"23","NN1_MSE",2,"ind_aeavol",0.0167757851559291
"24","NN1_MAE",2,"ind_aeavol",0.0169959469407579
"25","NN2_MSE",2,"ind_aeavol",0.0168435602512464
"26","NN2_MAE",2,"ind_aeavol",0.016805747915136
"27","NN3_MSE",2,"ind_aeavol",0.0172719733393191
"28","NN3_MAE",2,"ind_aeavol",0.016899750162215
"29","NN4_MSE",2,"ind_aeavol",0.0168353842505416
"30","NN4_MAE",2,"ind_aeavol",0.016800821701684
"31","NN5_MSE",2,"ind_aeavol",0.0163587076954258
"32","NN5_MAE",2,"ind_aeavol",0.0170218790048988
