"","model","sample","variable","importance"
"1","LM_MSE",1,"macro_bm",0.0324144103929238
"2","LM_MAE",1,"macro_bm",0.0166121950808603
"3","ELN_MSE",1,"macro_bm",0.0769230769230769
"4","ELN_MAE",1,"macro_bm",0.214074754950302
"5","RF_MSE",1,"macro_bm",0.0958203407308339
"6","RF_MAE",1,"macro_bm",0.0750504372643954
"7","NN1_MSE",1,"macro_bm",0.101660926508998
"8","NN1_MAE",1,"macro_bm",0.0958772022557531
"9","NN2_MSE",1,"macro_bm",0.0977935566222465
"10","NN2_MAE",1,"macro_bm",0.103095582371548
"11","NN3_MSE",1,"macro_bm",0.100411012608737
"12","NN3_MAE",1,"macro_bm",0.104208813979898
"13","NN4_MSE",1,"macro_bm",0.0972574809580865
"14","NN4_MAE",1,"macro_bm",0.10274169819931
"15","NN5_MSE",1,"macro_bm",0.0976178002884281
"16","NN5_MAE",1,"macro_bm",0.114207550101746
"17","LM_MSE",2,"macro_bm",0.054631477914959
"18","LM_MAE",2,"macro_bm",0.0336555421703224
"19","ELN_MSE",2,"macro_bm",0.0769230769230769
"20","ELN_MAE",2,"macro_bm",0.205720899265505
"21","RF_MSE",2,"macro_bm",0
"22","RF_MAE",2,"macro_bm",0.0302260738019254
"23","NN1_MSE",2,"macro_bm",0.0763313212339856
"24","NN1_MAE",2,"macro_bm",0.084113831897615
"25","NN2_MSE",2,"macro_bm",0.0835675775634396
"26","NN2_MAE",2,"macro_bm",0.0861327403145245
"27","NN3_MSE",2,"macro_bm",0.0792524873137039
"28","NN3_MAE",2,"macro_bm",0.0836917928826792
"29","NN4_MSE",2,"macro_bm",0.0475769416840208
"30","NN4_MAE",2,"macro_bm",0.0830962005191907
"31","NN5_MSE",2,"macro_bm",0.0850621731326514
"32","NN5_MAE",2,"macro_bm",0.0864781585570608
"33","LM_MSE",3,"macro_bm",0
"34","LM_MAE",3,"macro_bm",0
"35","ELN_MSE",3,"macro_bm",0.0833333333333333
"36","ELN_MAE",3,"macro_bm",0.0756597770385174
"37","RF_MSE",3,"macro_bm",0.084235711955833
"38","RF_MAE",3,"macro_bm",0.0431184897313372
"39","NN1_MSE",3,"macro_bm",0.0532198150799014
"40","NN1_MAE",3,"macro_bm",0.0482982850478061
"41","NN2_MSE",3,"macro_bm",0.0535127820176074
"42","NN2_MAE",3,"macro_bm",0.060575358951473
"43","NN3_MSE",3,"macro_bm",0.0483239432283842
"44","NN3_MAE",3,"macro_bm",0.057334579715514
"45","NN4_MSE",3,"macro_bm",0.0620163853588969
