"","model","sample","variable","importance"
"1","LM_MSE",1,"ind_baspread",0.00322612092282111
"2","LM_MAE",1,"ind_baspread",0.00257942913875324
"3","ELN_MSE",1,"ind_baspread",0.000347506526920425
"4","ELN_MAE",1,"ind_baspread",3.2305073446594e-99
"5","RF_MSE",1,"ind_baspread",0.00833970273557774
"6","RF_MAE",1,"ind_baspread",0.0104450254452293
"7","NN1_MSE",1,"ind_baspread",0.0406865077206333
"8","NN1_MAE",1,"ind_baspread",0.0409535048842398
"9","NN2_MSE",1,"ind_baspread",0.0393367534882875
"10","NN2_MAE",1,"ind_baspread",0.0405559171287303
"11","NN3_MSE",1,"ind_baspread",0.0402958768860287
"12","NN3_MAE",1,"ind_baspread",0.0417503290694149
"13","NN4_MSE",1,"ind_baspread",0.0407038057067875
"14","NN4_MAE",1,"ind_baspread",0.0412667104352015
"15","NN5_MSE",1,"ind_baspread",0.0406422785545385
"16","NN5_MAE",1,"ind_baspread",0.0419303914731792
"17","LM_MSE",2,"ind_baspread",0.00854669904816571
"18","LM_MAE",2,"ind_baspread",0.00815963992630432
"19","ELN_MSE",2,"ind_baspread",0.0384615384615385
"20","ELN_MAE",2,"ind_baspread",0.000833163690439782
"21","RF_MSE",2,"ind_baspread",0.0479729097958608
"22","RF_MAE",2,"ind_baspread",0.0472492913733141
"23","NN1_MSE",2,"ind_baspread",0.0411169129006159
"24","NN1_MAE",2,"ind_baspread",0.0410063005369244
"25","NN2_MSE",2,"ind_baspread",0.0412100347944267
"26","NN2_MAE",2,"ind_baspread",0.0415532508136656
"27","NN3_MSE",2,"ind_baspread",0.0307855691848834
"28","NN3_MAE",2,"ind_baspread",0.0408148841391404
"29","NN4_MSE",2,"ind_baspread",0.0410819909017528
"30","NN4_MAE",2,"ind_baspread",0.0411964483419627
"31","NN5_MSE",2,"ind_baspread",0.0403275646773533
"32","NN5_MAE",2,"ind_baspread",0.0415469577448159
"33","LM_MSE",3,"ind_baspread",0.00646493615813346
"34","LM_MAE",3,"ind_baspread",0.00398259868846586
"35","ELN_MSE",3,"ind_baspread",2.59189748363881e-99
"36","ELN_MAE",3,"ind_baspread",0.0196777842429773
"37","RF_MSE",3,"ind_baspread",0.0425099331921607
"38","RF_MAE",3,"ind_baspread",0.0465854696431163
"39","NN1_MSE",3,"ind_baspread",0.0312157521859779
"40","NN1_MAE",3,"ind_baspread",0.00796947626393526
"41","NN2_MSE",3,"ind_baspread",0.00429195731091165
"42","NN2_MAE",3,"ind_baspread",0.0121813293697583
"43","NN3_MSE",3,"ind_baspread",0.0262994764533467
"44","NN3_MAE",3,"ind_baspread",0.011459533920731
"45","NN4_MSE",3,"ind_baspread",0.0291842250195956
"46","NN4_MAE",3,"ind_baspread",0.00824243915153938
"47","NN5_MSE",3,"ind_baspread",0.00475475189973251
"48","NN5_MAE",3,"ind_baspread",0.0124398095126011
"49","LM_MSE",1,"ind_beta1",0.00352319614075493
"50","LM_MAE",1,"ind_beta1",0.00181278654003421
"51","ELN_MSE",1,"ind_beta1",0.000347506526920425
"52","ELN_MAE",1,"ind_beta1",3.00896330822525e-05
"53","RF_MSE",1,"ind_beta1",0.0141046043919656
"54","RF_MAE",1,"ind_beta1",0.00832035655915118
"55","NN1_MSE",1,"ind_beta1",0.0406762355815606
"56","NN1_MAE",1,"ind_beta1",0.0408398345812261
"57","NN2_MSE",1,"ind_beta1",0.0399302670809824
"58","NN2_MAE",1,"ind_beta1",0.040148666527573
"59","NN3_MSE",1,"ind_beta1",0.0403607929257378
"60","NN3_MAE",1,"ind_beta1",0.0412587141741837
"61","NN4_MSE",1,"ind_beta1",0.0404121888965292
"62","NN4_MAE",1,"ind_beta1",0.0411530621788917
"63","NN5_MSE",1,"ind_beta1",0.0397336120572007
"64","NN5_MAE",1,"ind_beta1",0.0413150976683284
"65","LM_MSE",2,"ind_beta1",0.00787031609145345
"66","LM_MAE",2,"ind_beta1",0.000925361452574697
"67","ELN_MSE",2,"ind_beta1",0.0384615384615385
"68","ELN_MAE",2,"ind_beta1",0.000177624829384397
"69","RF_MSE",2,"ind_beta1",0.0397192134595306
"70","RF_MAE",2,"ind_beta1",0.0339836369823877
"71","NN1_MSE",2,"ind_beta1",0.0427527136033696
"72","NN1_MAE",2,"ind_beta1",0.0410124581832491
"73","NN2_MSE",2,"ind_beta1",0.0445077476744411
"74","NN2_MAE",2,"ind_beta1",0.0414320586865418
"75","NN3_MSE",2,"ind_beta1",0.0299723146033412
"76","NN3_MAE",2,"ind_beta1",0.0408293745078675
"77","NN4_MSE",2,"ind_beta1",0.0442213342906881
"78","NN4_MAE",2,"ind_beta1",0.0409200229992427
"79","NN5_MSE",2,"ind_beta1",0.0408702451924168
"80","NN5_MAE",2,"ind_beta1",0.0412417413810713
"81","LM_MSE",3,"ind_beta1",0.00693959844502233
"82","LM_MAE",3,"ind_beta1",0.00361888960275181
"83","ELN_MSE",3,"ind_beta1",2.59189748363881e-99
"84","ELN_MAE",3,"ind_beta1",0.0176060410147255
"85","RF_MSE",3,"ind_beta1",0.040375759734889
"86","RF_MAE",3,"ind_beta1",0.0479794193636577
"87","NN1_MSE",3,"ind_beta1",0.0307871663107392
"88","NN1_MAE",3,"ind_beta1",0.00276608442707028
"89","NN2_MSE",3,"ind_beta1",0.00298877614635164
"90","NN2_MAE",3,"ind_beta1",0.00823538156918252
"91","NN3_MSE",3,"ind_beta1",0.0246353393802644
"92","NN3_MAE",3,"ind_beta1",0.00670905985133551
"93","NN4_MSE",3,"ind_beta1",0.0270001716168992
"94","NN4_MAE",3,"ind_beta1",0.0040198982407713
"95","NN5_MSE",3,"ind_beta1",0.00190786076568915
"96","NN5_MAE",3,"ind_beta1",0.00984309684949345
"97","LM_MSE",1,"ind_betasq",0.00351931854481277
"98","LM_MAE",1,"ind_betasq",0.00258957746841319
"99","ELN_MSE",1,"ind_betasq",0.000347506526920425
"100","ELN_MAE",1,"ind_betasq",3.2305073446594e-99
"101","RF_MSE",1,"ind_betasq",0.00818398825641888
"102","RF_MAE",1,"ind_betasq",0.0142538730729763
"103","NN1_MSE",1,"ind_betasq",0.0407537715492356
"104","NN1_MAE",1,"ind_betasq",0.0407795831846358
"105","NN2_MSE",1,"ind_betasq",0.0397021766804474
"106","NN2_MAE",1,"ind_betasq",0.0404936990171105
"107","NN3_MSE",1,"ind_betasq",0.0403553211710898
"108","NN3_MAE",1,"ind_betasq",0.0414954621530426
"109","NN4_MSE",1,"ind_betasq",0.0405162643084155
"110","NN4_MAE",1,"ind_betasq",0.0407647134764242
"111","NN5_MSE",1,"ind_betasq",0.0404433492260961
