"","model","sample","variable","importance"
"1","LM_MSE",1,"ind_baspread",0.0555133259384077
"2","LM_MAE",1,"ind_baspread",0.0569640567127281
"3","ELN_MSE",1,"ind_baspread",4.96845056761304e-99
"4","ELN_MAE",1,"ind_baspread",6.38196765817722e-99
"5","RF_MSE",1,"ind_baspread",0.0189862918296113
"6","RF_MAE",1,"ind_baspread",0.0265271807950143
"7","NN1_MSE",1,"ind_baspread",0.0566121266879461
"8","NN1_MAE",1,"ind_baspread",0.0564930227398488
"9","NN2_MSE",1,"ind_baspread",0.054878547921257
"10","NN2_MAE",1,"ind_baspread",0.0562425198845503
"11","NN3_MSE",1,"ind_baspread",0.056091861800004
"12","NN3_MAE",1,"ind_baspread",0.0571067718158693
"13","NN4_MSE",1,"ind_baspread",0.0561542876528635
"14","NN4_MAE",1,"ind_baspread",0.0565489404197357
"15","NN5_MSE",1,"ind_baspread",0.0561259206566508
"16","NN5_MAE",1,"ind_baspread",0.0571723512763906
"17","LM_MSE",2,"ind_baspread",0.0570175854570651
"18","LM_MAE",2,"ind_baspread",0.0594562955719778
"19","ELN_MSE",2,"ind_baspread",0.0555555555555556
"20","ELN_MAE",2,"ind_baspread",0.0012566642697924
"21","RF_MSE",2,"ind_baspread",0.0621651447765587
"22","RF_MAE",2,"ind_baspread",0.0610551899431418
"23","NN1_MSE",2,"ind_baspread",0.0569541186626559
"24","NN1_MAE",2,"ind_baspread",0.0564731587533634
"25","NN2_MSE",2,"ind_baspread",0.0572573324337067
"26","NN2_MAE",2,"ind_baspread",0.0574119820581253
"27","NN3_MSE",2,"ind_baspread",0.0472054331196928
"28","NN3_MAE",2,"ind_baspread",0.056407215380893
"29","NN4_MSE",2,"ind_baspread",0.0572777040470571
"30","NN4_MAE",2,"ind_baspread",0.0565381564212545
"31","NN5_MSE",2,"ind_baspread",0.0573617137661917
"32","NN5_MAE",2,"ind_baspread",0.0572953109217564
"33","LM_MSE",3,"ind_baspread",0.0551447897334689
"34","LM_MAE",3,"ind_baspread",0.0561819483348304
"35","ELN_MSE",3,"ind_baspread",2.59196134983197e-99
"36","ELN_MAE",3,"ind_baspread",0.0307420897537165
"37","RF_MSE",3,"ind_baspread",0.0564029960687639
"38","RF_MAE",3,"ind_baspread",0.0580495738484862
"39","NN1_MSE",3,"ind_baspread",0.0204812924354399
"40","NN1_MAE",3,"ind_baspread",0.011913349227447
"41","NN2_MSE",3,"ind_baspread",0.0054200678546496
"42","NN2_MAE",3,"ind_baspread",0.0109813533530245
"43","NN3_MSE",3,"ind_baspread",0.0102646376191593
"44","NN3_MAE",3,"ind_baspread",0.0103567589396203
"45","NN4_MSE",3,"ind_baspread",0.0139825584072484
"46","NN4_MAE",3,"ind_baspread",0.00902722964380544
"47","NN5_MSE",3,"ind_baspread",0.00597665183134001
"48","NN5_MAE",3,"ind_baspread",0.00897466697783019
"49","LM_MSE",1,"ind_beta1",0.0606252339529908
"50","LM_MAE",1,"ind_beta1",0.040033538321774
"51","ELN_MSE",1,"ind_beta1",4.96845056761304e-99
"52","ELN_MAE",1,"ind_beta1",5.94430052898087e-05
"53","RF_MSE",1,"ind_beta1",0.0321107530589369
"54","RF_MAE",1,"ind_beta1",0.0211311694625309
"55","NN1_MSE",1,"ind_beta1",0.0565958180375307
"56","NN1_MAE",1,"ind_beta1",0.0563362210440928
"57","NN2_MSE",1,"ind_beta1",0.0557065563675647
"58","NN2_MAE",1,"ind_beta1",0.0556777490285274
"59","NN3_MSE",1,"ind_beta1",0.0561822249291715
"60","NN3_MAE",1,"ind_beta1",0.0564343330526545
"61","NN4_MSE",1,"ind_beta1",0.0557519779925427
"62","NN4_MAE",1,"ind_beta1",0.0563932049998999
"63","NN5_MSE",1,"ind_beta1",0.054871076057707
"64","NN5_MAE",1,"ind_beta1",0.0563333943214664
"65","LM_MSE",2,"ind_beta1",0.0525052324633885
"66","LM_MAE",2,"ind_beta1",0.00674276861872691
"67","ELN_MSE",2,"ind_beta1",0.0555555555555556
"68","ELN_MAE",2,"ind_beta1",0
"69","RF_MSE",2,"ind_beta1",0.0514696870719275
"70","RF_MAE",2,"ind_beta1",0.041831344461268
"71","NN1_MSE",2,"ind_beta1",0.0592199888547659
"72","NN1_MAE",2,"ind_beta1",0.0564816389560125
"73","NN2_MSE",2,"ind_beta1",0.0618391835188564
"74","NN2_MAE",2,"ind_beta1",0.0572445371508852
"75","NN3_MSE",2,"ind_beta1",0.0459584191526057
"76","NN3_MAE",2,"ind_beta1",0.0564272414416544
"77","NN4_MSE",2,"ind_beta1",0.0616546677137778
