"","model","sample","variable","importance"
"1","LM_MSE",1,"macro_bm",0.0339673564988773
"2","LM_MAE",1,"macro_bm",0.0341643027087336
"3","ELN_MSE",1,"macro_bm",0.142857142857143
"4","ELN_MAE",1,"macro_bm",0.966067720859416
"5","RF_MSE",1,"macro_bm",0.13493884398155
"6","RF_MAE",1,"macro_bm",0.0865420993641766
"7","NN1_MSE",1,"macro_bm",0.146185976158228
"8","NN1_MAE",1,"macro_bm",0.161388875429432
"9","NN2_MSE",1,"macro_bm",0.148625219557502
"10","NN2_MAE",1,"macro_bm",0.1719218837517
"11","NN3_MSE",1,"macro_bm",0.149739229876732
"12","NN3_MAE",1,"macro_bm",0.169997615857004
"13","NN4_MSE",1,"macro_bm",0.154754216219172
"14","NN4_MAE",1,"macro_bm",0.170878635279833
"15","NN5_MSE",1,"macro_bm",0.150620707855749
"16","NN5_MAE",1,"macro_bm",0.168329397307343
"17","LM_MSE",2,"macro_bm",0.0402121403662947
"18","LM_MAE",2,"macro_bm",0.0733494546006259
"19","ELN_MSE",2,"macro_bm",0.125
"20","ELN_MAE",2,"macro_bm",0.905073533344347
"21","RF_MSE",2,"macro_bm",0.201679711687965
"22","RF_MAE",2,"macro_bm",0.230049494322657
"23","NN1_MSE",2,"macro_bm",0.11133485554132
"24","NN1_MAE",2,"macro_bm",0.156276535274691
"25","NN2_MSE",2,"macro_bm",0.102716241129919
"26","NN2_MAE",2,"macro_bm",0.151305653304141
"27","NN3_MSE",2,"macro_bm",0
"28","NN3_MAE",2,"macro_bm",0.151901690176235
"29","NN4_MSE",2,"macro_bm",0.0670353707245899
"30","NN4_MAE",2,"macro_bm",0.161737379117948
"31","NN5_MSE",2,"macro_bm",0.12244912207495
"32","NN5_MAE",2,"macro_bm",0.150999534657751
"33","LM_MSE",3,"macro_bm",0.0247201541925564
"34","LM_MAE",3,"macro_bm",0.0327669921426073
"35","ELN_MSE",3,"macro_bm",1.05190207343335e-94
"36","ELN_MAE",3,"macro_bm",0.667797150224835
"37","RF_MSE",3,"macro_bm",0.294688279670199
"38","RF_MAE",3,"macro_bm",0
"39","NN1_MSE",3,"macro_bm",0.0845388346139198
"40","NN1_MAE",3,"macro_bm",0
"41","NN2_MSE",3,"macro_bm",0
"42","NN2_MAE",3,"macro_bm",0
"43","NN3_MSE",3,"macro_bm",0.06782439332703
"44","NN3_MAE",3,"macro_bm",0
"45","NN4_MSE",3,"macro_bm",0.0752904633262803
"46","NN4_MAE",3,"macro_bm",0
"47","NN5_MSE",3,"macro_bm",0
"48","NN5_MAE",3,"macro_bm",0
"49","LM_MSE",1,"macro_dfy",0.0142345843528908
"50","LM_MAE",1,"macro_dfy",0.0161427838954734
"51","ELN_MSE",1,"macro_dfy",0.142857142857143
"52","ELN_MAE",1,"macro_dfy",6.54204443085833e-99
"53","RF_MSE",1,"macro_dfy",0.00341657222625709
"54","RF_MAE",1,"macro_dfy",0.0328174596493949
"55","NN1_MSE",1,"macro_dfy",0.14804144904321
"56","NN1_MAE",1,"macro_dfy",0.155745052967344
"57","NN2_MSE",1,"macro_dfy",0.148001014735451
"58","NN2_MAE",1,"macro_dfy",0.159982124760993
"59","NN3_MSE",1,"macro_dfy",0.148141049709521
"60","NN3_MAE",1,"macro_dfy",0.164722682470782
"61","NN4_MSE",1,"macro_dfy",0.158325101685841
"62","NN4_MAE",1,"macro_dfy",0.163994556779517
"63","NN5_MSE",1,"macro_dfy",0.155595371147015
"64","NN5_MAE",1,"macro_dfy",0.161013914224407
"65","LM_MSE",2,"macro_dfy",0.0291150747467493
"66","LM_MAE",2,"macro_dfy",0.0403170700196
"67","ELN_MSE",2,"macro_dfy",0.125
"68","ELN_MAE",2,"macro_dfy",0.0017541205080752
"69","RF_MSE",2,"macro_dfy",0.164433453374111
"70","RF_MAE",2,"macro_dfy",0.139091982299592
"71","NN1_MSE",2,"macro_dfy",0.156065658769426
"72","NN1_MAE",2,"macro_dfy",0.158975844745573
"73","NN2_MSE",2,"macro_dfy",0.15633748034249
"74","NN2_MAE",2,"macro_dfy",0.151359974477963
"75","NN3_MSE",2,"macro_dfy",0.0674162989341124
"76","NN3_MAE",2,"macro_dfy",0.153129741400237
"77","NN4_MSE",2,"macro_dfy",0.161281150023124
"78","NN4_MAE",2,"macro_dfy",0.161997923560775
"79","NN5_MSE",2,"macro_dfy",0.144473311502163
"80","NN5_MAE",2,"macro_dfy",0.152734779269176
"81","LM_MSE",3,"macro_dfy",0.0527796517760981
"82","LM_MAE",3,"macro_dfy",0.0528248445397293
"83","ELN_MSE",3,"macro_dfy",1.05190207343335e-94
"84","ELN_MAE",3,"macro_dfy",0.0507142602473648
"85","RF_MSE",3,"macro_dfy",0.118784499888213
"86","RF_MAE",3,"macro_dfy",0.000625864061730142
"87","NN1_MSE",3,"macro_dfy",0.0930928764950814
"88","NN1_MAE",3,"macro_dfy",0.0175130095118502
"89","NN2_MSE",3,"macro_dfy",0.0102849718309433
"90","NN2_MAE",3,"macro_dfy",0.0272557004777765
"91","NN3_MSE",3,"macro_dfy",0.0712228102170613
"92","NN3_MAE",3,"macro_dfy",0.0330569033973232
"93","NN4_MSE",3,"macro_dfy",0.0900417400654519
"94","NN4_MAE",3,"macro_dfy",0.0190508745617488
"95","NN5_MSE",3,"macro_dfy",0.0107479752480599
"96","NN5_MAE",3,"macro_dfy",0.0341283864100059
"97","LM_MSE",1,"macro_dp",0.725118547570354
"98","LM_MAE",1,"macro_dp",0.802055673878584
"99","ELN_MSE",1,"macro_dp",0.142857142857143
"100","ELN_MAE",1,"macro_dp",6.54204443085833e-99
"101","RF_MSE",1,"macro_dp",0.0153553056142916
"102","RF_MAE",1,"macro_dp",0.0294084284364349
"103","NN1_MSE",1,"macro_dp",0
"104","NN1_MAE",1,"macro_dp",0.0582890098901751
"105","NN2_MSE",1,"macro_dp",0.109394840369442
"106","NN2_MAE",1,"macro_dp",0.0261813152977885
"107","NN3_MSE",1,"macro_dp",0.107855198623998
"108","NN3_MAE",1,"macro_dp",0
"109","NN4_MSE",1,"macro_dp",0.0521440405407445
"110","NN4_MAE",1,"macro_dp",0.00755274966064507
"111","NN5_MSE",1,"macro_dp",0.0701759996481809
"112","NN5_MAE",1,"macro_dp",0
"113","LM_MSE",2,"macro_dp",0.756725205480272
"114","LM_MAE",2,"macro_dp",0.773838808915882
"115","ELN_MSE",2,"macro_dp",0.125
"116","ELN_MAE",2,"macro_dp",0.0017541205080752
"117","RF_MSE",2,"macro_dp",0.169073036797299
"118","RF_MAE",2,"macro_dp",0.120086693147689
"119","NN1_MSE",2,"macro_dp",0
"120","NN1_MAE",2,"macro_dp",0
"121","NN2_MSE",2,"macro_dp",0.114856892678789
"122","NN2_MAE",2,"macro_dp",0
"123","NN3_MSE",2,"macro_dp",0.338475156567641
"124","NN3_MAE",2,"macro_dp",0
"125","NN4_MSE",2,"macro_dp",0.125474327491418
"126","NN4_MAE",2,"macro_dp",0
"127","NN5_MSE",2,"macro_dp",0.154728130894624
"128","NN5_MAE",2,"macro_dp",0
"129","LM_MSE",3,"macro_dp",0.574843582486078
"130","LM_MAE",3,"macro_dp",0.483901049814984
"131","ELN_MSE",3,"macro_dp",1.05190207343335e-94
"132","ELN_MAE",3,"macro_dp",0.0507142602473648
"133","RF_MSE",3,"macro_dp",0.151551801691754
