"","model","sample","variable","importance"
"1","LM_MSE",1,"ind_aeavol",0.0135754573540774
"2","LM_MAE",1,"ind_aeavol",0.0129766936015344
"3","ELN_MSE",1,"ind_aeavol",0.00197956004073972
"4","ELN_MAE",1,"ind_aeavol",0.000504471995933111
"5","RF_MSE",1,"ind_aeavol",0.00105421316882794
"6","RF_MAE",1,"ind_aeavol",0.00391396524376625
"7","NN1_MSE",1,"ind_aeavol",0.0166695720408396
"8","NN1_MAE",1,"ind_aeavol",0.016640139753442
"9","NN2_MSE",1,"ind_aeavol",0.00426057679237544
"10","NN2_MAE",1,"ind_aeavol",0.0166890182478637
"11","NN3_MSE",1,"ind_aeavol",0.0166650410899727
"12","NN3_MAE",1,"ind_aeavol",3.58627311132094e-05
"13","NN4_MSE",1,"ind_aeavol",0.0166651472662789
"14","NN4_MAE",1,"ind_aeavol",0.0166646775977316
"15","NN5_MSE",1,"ind_aeavol",0.0152863282986054
"16","NN5_MAE",1,"ind_aeavol",0.0166612982156691
"17","LM_MSE",2,"ind_aeavol",0.0163600665937084
"18","LM_MAE",2,"ind_aeavol",0.0156254636892178
"19","ELN_MSE",2,"ind_aeavol",0.00305191565205992
"20","ELN_MAE",2,"ind_aeavol",0.00211095423800303
"21","RF_MSE",2,"ind_aeavol",0.0106548383325304
"22","RF_MAE",2,"ind_aeavol",0.00886410184971551
"23","NN1_MSE",2,"ind_aeavol",0.000176831335833271
"24","NN1_MAE",2,"ind_aeavol",0.0166410649176828
"25","NN2_MSE",2,"ind_aeavol",0.00663850324294389
"26","NN2_MAE",2,"ind_aeavol",0.0166630132600079
"27","NN3_MSE",2,"ind_aeavol",8.49682903747551e-07
"28","NN3_MAE",2,"ind_aeavol",0.0166064555789105
"29","NN4_MSE",2,"ind_aeavol",0.0029093786445711
"30","NN4_MAE",2,"ind_aeavol",0.016666655899086
"31","NN5_MSE",2,"ind_aeavol",0.0166628920846823
"32","NN5_MAE",2,"ind_aeavol",0.000137612152025868
"33","LM_MSE",3,"ind_aeavol",0.0165902513739476
"34","LM_MAE",3,"ind_aeavol",0.0154977239078575
"35","ELN_MSE",3,"ind_aeavol",4.38981220705678e-06
"36","ELN_MAE",3,"ind_aeavol",0.00104492743842746
"37","RF_MSE",3,"ind_aeavol",0.00915944002157471
"38","RF_MAE",3,"ind_aeavol",0.00365385428133434
"39","NN1_MSE",3,"ind_aeavol",0.00414706445916006
"40","NN1_MAE",3,"ind_aeavol",0.00031950347946846
"41","NN2_MSE",3,"ind_aeavol",0.0166734764282563
"42","NN2_MAE",3,"ind_aeavol",0.016667403053017
"43","NN3_MSE",3,"ind_aeavol",1.38859157252596e-05
"44","NN3_MAE",3,"ind_aeavol",0.0166680264353651
"45","NN4_MSE",3,"ind_aeavol",0.0166652925346244
"46","NN4_MAE",3,"ind_aeavol",0.0166656673929322
"47","NN5_MSE",3,"ind_aeavol",7.36081677157001e-05
"48","NN5_MAE",3,"ind_aeavol",0.0166318303668418
"49","LM_MSE",1,"ind_age",0.0105021333052134
"50","LM_MAE",1,"ind_age",0.00922260869203954
