"","model","sample","variable","importance"
"1","LM_MSE",1,"macro_dp",0.898400911898504
"2","LM_MSE",1,"macro_ep",0.0249044636972118
"3","LM_MSE",1,"macro_bm",0.051785273845793
"4","LM_MSE",1,"macro_ntis",0.00348221454121234
"5","LM_MSE",1,"macro_tbl",0.000541682308735472
"6","LM_MSE",1,"macro_tms",0.0130878941421519
"7","LM_MSE",1,"macro_dfy",0.0077975595663912
"8","LM_MSE",1,"macro_svar",0
"9","LM_MAE",1,"macro_dp",0.789366588283243
"10","LM_MAE",1,"macro_ep",0.0770789290865696
"11","LM_MAE",1,"macro_bm",0.0956171793976957
"12","LM_MAE",1,"macro_ntis",0.00132732122453944
"13","LM_MAE",1,"macro_tbl",0.000426954579012553
"14","LM_MAE",1,"macro_tms",0.0254083735406108
"15","LM_MAE",1,"macro_dfy",0.0107746538883293
"16","LM_MAE",1,"macro_svar",0
"17","ELN_MSE",1,"macro_dp",0.073538448384417
"18","ELN_MSE",1,"macro_ep",0.10063979266616
"19","ELN_MSE",1,"macro_bm",0.46597707420473
"20","ELN_MSE",1,"macro_ntis",0.00776207179211227
"21","ELN_MSE",1,"macro_tbl",0.00814439207653404
"22","ELN_MSE",1,"macro_tms",0.00776207179211227
"23","ELN_MSE",1,"macro_dfy",0.336176149083935
"24","ELN_MSE",1,"macro_svar",0
"25","ELN_MAE",1,"macro_dp",0.0288532081465079
"26","ELN_MAE",1,"macro_ep",0.00268804691119086
"27","ELN_MAE",1,"macro_bm",0.84127368467138
"28","ELN_MAE",1,"macro_ntis",0.0226865986433169
"29","ELN_MAE",1,"macro_tbl",0.0037220651807649
"30","ELN_MAE",1,"macro_tms",0.00190875434372411
"31","ELN_MAE",1,"macro_dfy",0.0988676421031149
"32","ELN_MAE",1,"macro_svar",0
"33","RF_MSE",1,"macro_dp",0.1486314050145
"34","RF_MSE",1,"macro_ep",0.130919941759801
"35","RF_MSE",1,"macro_bm",0.155616521426558
"36","RF_MSE",1,"macro_ntis",0.293447910775999
"37","RF_MSE",1,"macro_tbl",0.0091859598758523
"38","RF_MSE",1,"macro_tms",0.0936948194836236
"39","RF_MSE",1,"macro_dfy",0.116218500317768
