"","model","dgp_spec","sample","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"1","LM_MSE","g1",1,0,0,0.0580574784249848,0.00565644107944617,0.0751698912483008,-0.0242740866090071,0.0560107970481272,0.00519572037335657,0.0720158997284038,0.00819998172054117
"2","LM_MSE","g1",1,1,0.01,0.0468945953269646,0.00467564657133014,0.0638680500662205,0.00419514139762622,0.0283721500582449,0.00177341002387645,0.0364485524684476,0.00998579574760274
"3","LM_MSE","g1",1,1,0.1,0.0470773216934708,0.00468985014150607,0.0639970219030653,-0.00286441634242283,0.0286900859114198,0.00179913084737904,0.0368547143164079,-0.00832475711522462
"4","LM_MSE","g1",1,1,1,0.0546645611490459,0.00564726352266063,0.0724088828694566,-0.436874938733375,0.0342126879752384,0.00226097775203204,0.0436891433288796,-0.543546597401724
"5","LM_MSE","g1",2,0,0,0.0570699128813562,0.00546767959395788,0.0738938558356022,0.0088878752723107,0.0567404634748361,0.00538711275437712,0.0731508579635819,-0.0687006975937688
"6","LM_MSE","g1",2,1,0.01,0.0411490249051699,0.00375461955104152,0.0559911347667662,0.0418232814291131,0.0386444118962982,0.003017598146375,0.0494494698727339,0.00211481282712467
"7","LM_MSE","g1",2,1,0.1,0.0413685669565342,0.00377050882614596,0.0561635874324308,0.0321445770673851,0.0390863441600934,0.00305557038360012,0.0499808940591478,-0.0312647101994459
"8","LM_MSE","g1",2,1,1,0.0474945375713968,0.00446802775892313,0.0633207326378338,-0.406119344044571,0.0466105095550492,0.00396029313360347,0.0590240298503495,-0.549114474652702
"9","LM_MSE","g1",3,0,0,0.0568104804534525,0.00542264953917538,0.0736032494333702,0.000461550886421991,0.0564502329124892,0.00535096544058612,0.073089318878365,-0.0507589130835353
"10","LM_MSE","g1",3,1,0.01,0.0395413586100341,0.00352149810185047,0.0539528764580321,0.0787396007985924,0.0430160396349212,0.00342909422877765,0.0558137745936781,0.0127191059442242
"11","LM_MSE","g1",3,1,0.1,0.0397470894406121,0.0035368161221504,0.054110333276481,0.0716471998908403,0.0431192769256952,0.0034412857477879,0.0559535334323298,0.00653019647960142
