"","model","dgp_spec","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare","validation_MAE_ave","validation_MSE_ave","validation_RMSE_ave","validation_RSquare_ave","test_MAE_ave","test_MSE_ave","test_RMSE_ave","test_RSquare_ave"
"1","LM_MSE","g1",1,0.01,0.0425283262807228,0.00398392140807405,0.0579373537636729,0.0415860078751106,0.0366775338631548,0.0027400341330097,0.0472372656449532,0.00827323817298387,0.0432390385190707,0.00404788856790878,0.0586288270556049,-0.00201225492263333,0.0374140386227931,0.0028051648963349,0.0481167064399026,-0.045194255570136
"2","LM_MSE","g1",1,0.1,0.0427309926968723,0.00399905836326748,0.0580903142039924,0.0336424535386009,0.0369652356657361,0.00276532899292235,0.0475963806026285,-0.011019756945023,0.0434139335526131,0.00405911283778898,0.0587484938245035,-0.0105382733362945,0.037704772019297,0.00283218362573668,0.0484757759695143,-0.0696348023416355
"3","LM_MSE","g1",1,1,0.0486693532127262,0.00470092177514854,0.0647658745124482,-0.328075153750258,0.0429486116382484,0.003414103725163,0.0546422134062614,-0.438796520585676,0.0494925426832494,0.00479997946148443,0.0656174236750019,-0.394979713215926,0.043919668526603,0.00353336522334595,0.0559121867177754,-0.569509509867783
"4","LM_MSE","g2",1,0.01,0.0439667225845445,0.0041132315082044,0.0593278624808349,-0.0459300275014071,0.0382547771411622,0.00288005771483053,0.0490894949815485,-0.111787999073567,0.0432390385190707,0.00404788856790878,0.0586288270556049,-0.00201225492263333,0.0374140386227931,0.0028051648963349,0.0481167064399026,-0.045194255570136
"5","LM_MSE","g2",1,0.1,0.044125754977551,0.00411862314970364,0.0594076224824995,-0.0533599094470756,0.0385796408247812,0.00291441309894543,0.0495061560202275,-0.142944250943396,0.0434139335526131,0.00405911283778898,0.0587484938245035,-0.0105382733362945,0.037704772019297,0.00283218362573668,0.0484757759695143,-0.0696348023416355
"6","LM_MSE","g2",1,1,0.0504862405658953,0.00493659367539806,0.0666503389789606,-0.46370376898984,0.0453764626112773,0.00371717094184509,0.0577816129673277,-0.780953488144472,0.0494925426832494,0.00479997946148443,0.0656174236750019,-0.394979713215926,0.043919668526603,0.00353336522334595,0.0559121867177754,-0.569509509867783
"7","LM_MSE","g3",1,0.01,0.0432220666919446,0.00404651278744789,0.058621264922307,-0.00169274514160349,0.0373098048640624,0.00279540284116446,0.0480233586932061,-0.0320680058098251,0.0432390385190707,0.00404788856790878,0.0586288270556049,-0.00201225492263333,0.0374140386227931,0.0028051648963349,0.0481167064399026,-0.045194255570136
"8","LM_MSE","g3",1,0.1,0.0433850529834159,0.00405965700039582,0.0587475447870186,-0.0118973641004086,0.0375694395673735,0.00281680878534225,0.0483247912856868,-0.0549403991364875,0.0434139335526131,0.00405911283778898,0.0587484938245035,-0.0105382733362945,0.037704772019297,0.00283218362573668,0.0484757759695143,-0.0696348023416355
"9","LM_MSE","g3",1,1,0.0493220342711267,0.00476242293390668,0.065436057533597,-0.39316021690768,0.0434339313302834,0.00346882100302977,0.0553127337797371,-0.488778520873202,0.0494925426832494,0.00479997946148443,0.0656174236750019,-0.394979713215926,0.043919668526603,0.00353336522334595,0.0559121867177754,-0.569509509867783
"10","LM_MAE","g1",1,0.01,0.04255980446462,0.00397841726211891,0.0579617417764791,0.0369878101815359,0.0366417054899092,0.00273729036020635,0.0472231139262057,0.00904963114182068,0.0432643898368096,0.00404369236695117,0.0586535729801982,-0.00625109459054219,0.0374376786725606,0.00280672421172608,0.048152787168018,-0.0474939150365457
